家數, 衛生所名稱, 郵遞區號, 單位地址, 電話
1, 新竹縣橫山鄉衛生所, 312, 312新竹縣橫山鄉新興街141巷10號, 03-5932004
2, 新竹縣峨眉鄉衛生所, 315, 315新竹縣峨眉鄉峨眉街5號, 03-5800014
3, 新竹縣五峰鄉衛生所, 311, 31141新竹縣五峰鄉6鄰99號, 03-5851005
4, 新竹縣北埔鄉衛生所, 314, 新竹縣北埔鄉北埔街90號, 03-5802304
5, 新竹縣寶山鄉衛生所, 308, 新竹縣寶山鄉雙溪村雙園路2段273號, 03-5203054
6, 新竹縣尖石鄉衛生所, 313, 新竹縣尖石鄉嘉樂村二鄰61號, 03-5841011
7, 宜蘭縣大同鄉衛生所, 267, 267宜蘭縣大同鄉崙埤村朝陽40號, 03-9801175
8, 宜蘭縣宜蘭市衛生所, 260, 宜蘭縣宜蘭市健康路二段2-2號, 03-9322362
9, 宜蘭縣羅東鎮衛生所, 265, 宜蘭縣羅東鎮民生路79號, 03-9542321
10, 宜蘭縣蘇澳鎮衛生所, 270, 宜蘭縣蘇澳鎮志成路六十號, 03-9951386
11, 宜蘭縣頭城鎮衛生所, 261, 宜蘭縣頭城鎮新建里吉祥路15號, 03-9771034
12, 宜蘭縣礁溪鄉衛生所, 262, 宜蘭縣礁溪鄉礁溪路四段126號B1, 03-9882908
13, 宜蘭縣壯圍鄉衛生所, 263, 宜蘭縣壯圍鄉吉祥村中央路二段290號, 03-9385503
14, 宜蘭縣員山鄉衛生所, 264, 宜蘭縣員山鄉復興路2號, 03-9221575
15, 宜蘭縣冬山鄉衛生所, 269, 宜蘭縣冬山鄉冬山村中正路16號, 03-9591140
16, 宜蘭縣五結鄉衛生所, 268, 宜蘭縣五結鄉五結村五結路二段337號, 03-9501564
17, 宜蘭鄉三星鄉衛生所, 266, 宜蘭縣三星鄉三星路五段70號, 03-9892227
18, 宜蘭縣南澳鄉衛生所, 272, 宜蘭縣南澳鄉南澳村蘇花路二段375號, 03-9981019
19, 南投縣鹿谷鄉衛生所, 558, 558南投縣鹿谷鄉中正路二段20號, 049-2752002
20, 南投縣信義鄉衛生所, 556, 556南投縣信義鄉玉山路45號, 049-2791148
21, 南投縣南投市衛生所, 54057, 南投縣南投市三和一路13號, 049-2223264
22, 南投縣埔里鎮衛生所, 54554, 南投縣埔里鎮中山路2段256號, 049-2982157
23, 南投縣草屯鎮衛生所, 54260, 南投縣草屯鎮草溪路882巷7號, 049-2362023
24, 南投縣竹山鎮衛生所, 55757, 南投縣竹山鎮雲林里公所路126號, 049-2642026
25, 南投縣集集鎮衛生所, 55241, 南投縣集集鎮民生路106號, 049-2276205
26, 南投縣名間鄉衛生所, 55142, 南投縣名間鄉中正村彰南路42號, 049-2732135
27, 南投縣中寮鄉衛生所, 54154, 南投縣中寮鄉永平村永昌街102號, 049-2691404
28, 南投縣魚池鄉衛生所, 55541, 南投縣魚池鄉東池村魚池街194號, 049-2895513
29, 南投縣國姓鄉衛生所, 54443, 南投縣國姓鄉國姓村民族街42號, 049-2721009
30, 南投縣水里鄉衛生所, 55343, 南投縣水里鄉博愛路205號, 049-2770079
31, 南投縣仁愛鄉衛生所, 54641, 南投縣仁愛鄉大同村五福巷17號, 049-2802341
32, 花蓮縣秀林鄉衛生所, 972, 972花蓮縣秀林鄉秀林路88號, 038-612123
33, 花蓮縣豐濱鄉衛生所, 977, 977花蓮縣豐濱鄉豐濱村光豐路41號(衛福部花蓮醫院豐濱原住民分院), 038-791895
34, 花蓮縣萬榮鄉衛生所, 979, 花蓮縣萬榮鄉萬榮村1鄰16號, 038-751651
35, 花蓮縣卓溪鄉衛生所, 982, 982花蓮縣卓溪鄉卓溪村中正路65號, 038-882592
36, 花蓮縣富里鄉衛生所, 983, 花蓮縣富里鄉中山路203號, 038-831029
